Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.000100	3.643441	0.100080	0.000000	0.683735	
0.000100	0.129259	0.074460	0.000000	0.636759	
0.000100	0.106130	0.067133	0.000000	0.456216	
0.000100	0.092364	0.062005	0.000000	0.553332	
0.000100	0.084557	0.057907	0.000000	0.392053	
0.000100	0.077723	0.055239	0.000000	0.369480	
0.000100	0.072725	0.051484	0.000000	0.361440	
0.000100	0.025191	0.018486	0.000000	0.139428	
0.000100	0.025094	0.018746	0.000000	0.121937	
0.000100	0.024677	0.018363	0.000000	0.121525	
0.000100	0.025070	0.018212	0.000000	0.119164	
0.000100	0.024633	0.018571	0.000000	0.126804	
0.000100	0.024054	0.018112	0.000000	0.132435	
0.000100	0.024034	0.018009	0.000000	0.121293	
0.000100	0.023972	0.018041	0.000000	0.117478	
0.000100	0.024044	0.018174	0.000000	0.145483	
0.000100	0.024408	0.018043	0.000000	0.120196	
0.000100	0.024613	0.018305	0.000000	0.137799	
0.000100	0.024335	0.018300	0.000000	0.119544	
0.000100	0.024537	0.018087	0.000000	0.137412	
0.000100	0.024251	0.018123	0.000000	0.120050	
0.000100	0.024108	0.018045	0.000000	0.124103	
0.000100	0.023863	0.018230	0.000000	0.119808	
0.000100	0.024431	0.017818	0.000000	0.145419	
0.000100	0.023817	0.017921	0.000000	0.127928	
0.000100	0.023711	0.017976	0.000000	0.163677	
0.000100	0.023836	0.017669	0.000000	0.120124	
0.000100	0.023082	0.017974	0.000000	0.114744	
0.000100	0.023646	0.017976	0.000000	0.117153	
0.000100	0.024125	0.017688	0.000000	0.116456	
0.000100	0.023343	0.017420	0.000000	0.123915	
0.000100	0.024077	0.017509	0.000000	0.110461	
0.000100	0.023705	0.017927	0.000000	0.125428	
0.000100	0.023693	0.017851	0.000000	0.144607	
0.000100	0.023469	0.017707	0.000000	0.119509	
0.000100	0.023510	0.017497	0.000000	0.127234	
0.000100	0.023506	0.017399	0.000000	0.122743	
0.000100	0.024037	0.017382	0.000000	0.113174	
0.000100	0.022963	0.017514	0.000000	0.121471	
0.000100	0.023557	0.017313	0.000000	0.109880	
0.000100	0.023082	0.017464	0.000000	0.157829	
0.000100	0.023087	0.017340	0.000000	0.133658	
0.000100	0.022875	0.017342	0.000000	0.127336	
0.000100	0.023257	0.017170	0.000000	0.120727	
0.000100	0.022977	0.017330	0.000000	0.125108	
0.000100	0.022962	0.017421	0.000000	0.121107	
0.000100	0.022687	0.017267	0.000000	0.115784	
0.000100	0.022625	0.017084	0.000000	0.123952	
0.000100	0.023052	0.017232	0.000000	0.136658	
0.000100	0.022761	0.017094	0.000000	0.143138	
0.000100	0.022953	0.017118	0.000000	0.112251	
0.000100	0.022772	0.016808	0.000000	0.142893	
0.000100	0.023590	0.016929	0.000000	0.116672	
0.000100	0.022815	0.016782	0.000000	0.110198	
0.000100	0.022843	0.016736	0.000000	0.113075	
0.000100	0.023187	0.017114	0.000000	0.114647	
0.000100	0.021975	0.016908	0.000000	0.119443	
0.000100	0.022611	0.016741	0.000000	0.119177	
0.000100	0.022512	0.016818	0.000000	0.107195	
0.000100	0.022412	0.016780	0.000000	0.120807	
0.000100	0.021872	0.016605	0.000000	0.110581	
0.000100	0.022225	0.016595	0.000000	0.111491	
0.000100	0.022576	0.016779	0.000000	0.121935	
0.000100	0.021805	0.016489	0.000000	0.139117	
0.000100	0.022224	0.016370	0.000000	0.106399	
0.000100	0.022504	0.016638	0.000000	0.110245	
0.000100	0.021675	0.016328	0.000000	0.120685	
0.000100	0.021985	0.016303	0.000000	0.118431	
0.000100	0.022546	0.016638	0.000000	0.120291	
0.000010	0.021758	0.016350	0.000000	0.110595	
0.000010	0.021886	0.016153	0.000000	0.110807	
0.000010	0.021745	0.015946	0.000000	0.100497	
0.000010	0.022115	0.015869	0.000000	0.110825	
0.000010	0.021738	0.016195	0.000000	0.115483	
0.000010	0.021623	0.016058	0.000000	0.101943	
0.000010	0.021824	0.016327	0.000000	0.108838	
0.000010	0.021551	0.016084	0.000000	0.108642	
0.000010	0.021348	0.016290	0.000000	0.115847	
0.000010	0.021801	0.016045	0.000000	0.104557	
0.000010	0.021313	0.016123	0.000000	0.105577	
0.000010	0.021385	0.016251	0.000000	0.125248	
0.000010	0.021032	0.015956	0.000000	0.123391	
0.000010	0.021935	0.016123	0.000000	0.107682	
0.000010	0.021330	0.015656	0.000000	0.107163	
0.000010	0.020798	0.016121	0.000000	0.112293	
0.000010	0.021179	0.015557	0.000000	0.103474	
0.000010	0.021350	0.015696	0.000000	0.106567	
